t_s,drone_id,lat,lon,heading_deg,speed_kn,kf_std_m,is_lost
1.01,0,54.4383497,18.9254381,8.6,0.1,1.26,0
1.01,1,54.4383400,18.9252392,13.3,0.1,1.26,0
1.01,2,54.4383350,18.9250589,358.1,0.2,1.26,0
1.01,3,54.4383782,18.9254749,2.0,0.2,1.26,0
1.01,4,54.4383441,18.9256379,354.7,0.0,1.26,0
1.01,5,54.4381554,18.9253640,12.5,0.1,1.26,0
1.01,6,54.4381800,18.9252136,8.1,0.1,1.26,0
1.01,7,54.4381570,18.9250595,349.1,0.2,1.26,0
1.01,8,54.4381462,18.9255837,354.2,0.3,1.26,0
2.03,0,54.4383353,18.9254273,8.3,0.1,0.97,0
2.03,1,54.4383422,18.9252547,11.4,0.1,0.97,0
2.03,2,54.4383551,18.9250433,359.9,0.1,0.97,0
2.03,3,54.4383630,18.9254861,1.6,0.2,0.97,0
2.03,4,54.4383356,18.9256437,351.3,0.1,0.97,0
2.03,5,54.4381609,18.9253702,10.8,0.1,0.97,0
2.03,6,54.4381740,18.9252081,6.6,0.1,0.97,0
2.03,7,54.4381511,18.9250815,350.1,0.2,0.97,0
2.03,8,54.4381527,18.9255703,357.8,0.3,0.97,0
3.13,0,54.4383390,18.9254013,6.9,5.2,0.88,0
3.13,1,54.4383439,18.9252498,11.2,5.2,0.88,0
3.13,2,54.4383534,18.9250351,359.1,5.3,0.88,0
3.13,3,54.4383637,18.9254869,1.6,5.3,0.88,0
3.13,4,54.4383380,18.9256507,351.3,5.2,0.88,0
3.13,5,54.4381598,18.9253839,9.5,5.2,0.88,0
3.13,6,54.4381757,18.9252300,5.9,5.3,0.88,0
3.13,7,54.4381517,18.9250738,348.9,5.1,0.88,0
3.13,8,54.4381527,18.9255859,356.9,5.1,0.88,0
4.23,0,54.4383507,18.9254135,2.6,9.2,0.86,0
4.23,1,54.4383487,18.9252587,10.2,9.7,0.86,0
4.23,2,54.4383600,18.9250333,352.4,9.3,0.86,0
4.23,3,54.4383762,18.9254776,357.1,9.6,0.86,0
4.23,4,54.4383596,18.9256669,353.1,9.8,0.86,0
4.23,5,54.4381739,18.9253808,3.9,9.5,0.86,0
4.23,6,54.4381832,18.9252231,3.9,9.3,0.86,0
4.23,7,54.4381627,18.9250751,344.4,9.2,0.86,0
4.23,8,54.4381589,18.9255668,355.3,9.6,0.86,0
