t_s,cell_id,centre_lat,centre_lon,staleness_s
10.0,0,54.4389515,18.8572861,-1.0
10.0,1,54.4389515,18.8619743,-1.0
10.0,2,54.4389515,18.8666626,-1.0
10.0,3,54.4389515,18.8713508,-1.0
10.0,4,54.4389515,18.8760390,-1.0
10.0,5,54.4389515,18.8807273,-1.0
10.0,6,54.4389515,18.8854155,-1.0
10.0,7,54.4389515,18.8901037,-1.0
10.0,8,54.4389515,18.8947920,-1.0
10.0,9,54.4416464,18.8572861,-1.0
10.0,10,54.4416464,18.8619743,-1.0
10.0,11,54.4416464,18.8666626,-1.0
10.0,12,54.4416464,18.8713508,-1.0
10.0,13,54.4416464,18.8760390,-1.0
10.0,14,54.4416464,18.8807273,-1.0
10.0,15,54.4416464,18.8854155,-1.0
10.0,16,54.4416464,18.8901037,-1.0
10.0,17,54.4416464,18.8947920,-1.0
10.0,18,54.4443413,18.8572861,-1.0
10.0,19,54.4443413,18.8619743,-1.0
10.0,20,54.4443413,18.8666626,-1.0
10.0,21,54.4443413,18.8713508,-1.0
10.0,22,54.4443413,18.8760390,-1.0
10.0,23,54.4443413,18.8807273,-1.0
10.0,24,54.4443413,18.8854155,-1.0
10.0,25,54.4443413,18.8901037,-1.0
10.0,26,54.4443413,18.8947920,-1.0
10.0,27,54.4470363,18.8572861,-1.0
10.0,28,54.4470363,18.8619743,-1.0
10.0,29,54.4470363,18.8666626,-1.0
10.0,30,54.4470363,18.8713508,-1.0
10.0,31,54.4470363,18.8760390,-1.0
10.0,32,54.4470363,18.8807273,-1.0
10.0,33,54.4470363,18.8854155,-1.0
10.0,34,54.4470363,18.8901037,-1.0
10.0,35,54.4470363,18.8947920,-1.0
10.0,36,54.4497312,18.8572861,-1.0
10.0,37,54.4497312,18.8619743,-1.0
10.0,38,54.4497312,18.8666626,-1.0
10.0,39,54.4497312,18.8713508,-1.0
10.0,40,54.4497312,18.8760390,-1.0
10.0,41,54.4497312,18.8807273,-1.0
10.0,42,54.4497312,18.8854155,-1.0
10.0,43,54.4497312,18.8901037,-1.0
10.0,44,54.4497312,18.8947920,-1.0
10.0,45,54.4524261,18.8572861,-1.0
10.0,46,54.4524261,18.8619743,-1.0
10.0,47,54.4524261,18.8666626,-1.0
10.0,48,54.4524261,18.8713508,-1.0
10.0,49,54.4524261,18.8760390,-1.0
10.0,50,54.4524261,18.8807273,-1.0
10.0,51,54.4524261,18.8854155,-1.0
10.0,52,54.4524261,18.8901037,-1.0
10.0,53,54.4524261,18.8947920,-1.0
10.0,54,54.4551211,18.8572861,-1.0
10.0,55,54.4551211,18.8619743,-1.0
10.0,56,54.4551211,18.8666626,-1.0
10.0,57,54.4551211,18.8713508,-1.0
10.0,58,54.4551211,18.8760390,-1.0
10.0,59,54.4551211,18.8807273,-1.0
10.0,60,54.4551211,18.8854155,-1.0
10.0,61,54.4551211,18.8901037,-1.0
10.0,62,54.4551211,18.8947920,-1.0
10.0,63,54.4578160,18.8572861,-1.0
10.0,64,54.4578160,18.8619743,-1.0
10.0,65,54.4578160,18.8666626,-1.0
10.0,66,54.4578160,18.8713508,-1.0
10.0,67,54.4578160,18.8760390,-1.0
10.0,68,54.4578160,18.8807273,-1.0
10.0,69,54.4578160,18.8854155,-1.0
10.0,70,54.4578160,18.8901037,-1.0
10.0,71,54.4578160,18.8947920,-1.0
10.0,72,54.4605109,18.8572861,-1.0
10.0,73,54.4605109,18.8619743,-1.0
10.0,74,54.4605109,18.8666626,-1.0
10.0,75,54.4605109,18.8713508,-1.0
10.0,76,54.4605109,18.8760390,-1.0
10.0,77,54.4605109,18.8807273,-1.0
10.0,78,54.4605109,18.8854155,-1.0
10.0,79,54.4605109,18.8901037,-1.0
10.0,80,54.4605109,18.8947920,-1.0
10.0,81,54.4632059,18.8572861,-1.0
10.0,82,54.4632059,18.8619743,-1.0
10.0,83,54.4632059,18.8666626,-1.0
10.0,84,54.4632059,18.8713508,-1.0
10.0,85,54.4632059,18.8760390,-1.0
10.0,86,54.4632059,18.8807273,-1.0
10.0,87,54.4632059,18.8854155,-1.0
10.0,88,54.4632059,18.8901037,-1.0
10.0,89,54.4632059,18.8947920,-1.0
20.1,0,54.4389515,18.8572861,-1.0
20.1,1,54.4389515,18.8619743,-1.0
20.1,2,54.4389515,18.8666626,-1.0
20.1,3,54.4389515,18.8713508,-1.0
20.1,4,54.4389515,18.8760390,-1.0
20.1,5,54.4389515,18.8807273,-1.0
