t_s,coverage_pct,cells_visited,cells_total,min_staleness_s,max_staleness_s,mean_staleness_s,drones_active
10.0,0.00,0,90,0.0,0.0,0.0,9
20.1,0.00,0,90,0.0,0.0,0.0,9
30.2,0.00,0,90,0.0,0.0,0.0,9
40.2,0.00,0,90,0.0,0.0,0.0,9
50.2,0.00,0,90,0.0,0.0,0.0,9
60.3,0.00,0,90,0.0,0.0,0.0,9
70.3,0.00,0,90,0.0,0.0,0.0,9
80.4,0.00,0,90,0.0,0.0,0.0,9
90.5,0.00,0,90,0.0,0.0,0.0,9
100.5,0.00,0,90,0.0,0.0,0.0,9
110.5,0.00,0,90,0.0,0.0,0.0,9
120.6,0.00,0,90,0.0,0.0,0.0,9
130.6,0.00,0,90,0.0,0.0,0.0,9
140.7,0.00,0,90,0.0,0.0,0.0,9
150.7,0.00,0,90,0.0,0.0,0.0,9
160.7,0.00,0,90,0.0,0.0,0.0,9
170.7,0.00,0,90,0.0,0.0,0.0,9
180.7,0.00,0,90,0.0,0.0,0.0,9
190.8,0.00,0,90,0.0,0.0,0.0,9
200.8,0.00,0,90,0.0,0.0,0.0,9
210.8,0.00,0,90,0.0,0.0,0.0,9
220.8,0.00,0,90,0.0,0.0,0.0,9
230.8,0.00,0,90,0.0,0.0,0.0,9
240.8,0.00,0,90,0.0,0.0,0.0,9
250.8,0.00,0,90,0.0,0.0,0.0,9
260.9,0.00,0,90,0.0,0.0,0.0,9
270.9,0.00,0,90,0.0,0.0,0.0,9
280.9,0.00,0,90,0.0,0.0,0.0,9
290.9,0.00,0,90,0.0,0.0,0.0,9
300.9,0.00,0,90,0.0,0.0,0.0,9
310.9,0.00,0,90,0.0,0.0,0.0,9
321.0,0.00,0,90,0.0,0.0,0.0,9
331.0,0.00,0,90,0.0,0.0,0.0,9
341.0,0.00,0,90,0.0,0.0,0.0,9
351.0,0.00,0,90,0.0,0.0,0.0,9
361.0,0.00,0,90,0.0,0.0,0.0,9
371.1,0.00,0,90,0.0,0.0,0.0,9
381.1,0.00,0,90,0.0,0.0,0.0,9
391.2,0.00,0,90,0.0,0.0,0.0,9
401.3,0.00,0,90,0.0,0.0,0.0,9
411.4,0.00,0,90,0.0,0.0,0.0,9
421.5,0.00,0,90,0.0,0.0,0.0,9
431.5,0.00,0,90,0.0,0.0,0.0,9
441.5,0.00,0,90,0.0,0.0,0.0,9
451.5,0.00,0,90,0.0,0.0,0.0,9
461.6,0.00,0,90,0.0,0.0,0.0,9
471.6,0.00,0,90,0.0,0.0,0.0,9
481.7,0.00,0,90,0.0,0.0,0.0,9
491.8,0.00,0,90,0.0,0.0,0.0,9
501.8,0.00,0,90,0.0,0.0,0.0,9
511.8,0.00,0,90,0.0,0.0,0.0,9
521.8,0.00,0,90,0.0,0.0,0.0,9
531.9,0.00,0,90,0.0,0.0,0.0,9
542.0,0.00,0,90,0.0,0.0,0.0,9
552.1,0.00,0,90,0.0,0.0,0.0,9
562.1,0.00,0,90,0.0,0.0,0.0,9
572.2,0.00,0,90,0.0,0.0,0.0,9
582.3,0.00,0,90,0.0,0.0,0.0,9
592.4,0.00,0,90,0.0,0.0,0.0,9
602.4,0.00,0,90,0.0,0.0,0.0,9
612.4,0.00,0,90,0.0,0.0,0.0,9
622.5,0.00,0,90,0.0,0.0,0.0,9
632.5,0.00,0,90,0.0,0.0,0.0,9
642.5,0.00,0,90,0.0,0.0,0.0,9
652.5,0.00,0,90,0.0,0.0,0.0,9
662.5,0.00,0,90,0.0,0.0,0.0,9
672.5,0.00,0,90,0.0,0.0,0.0,9
682.6,0.00,0,90,0.0,0.0,0.0,9
692.6,0.00,0,90,0.0,0.0,0.0,9
702.7,0.00,0,90,0.0,0.0,0.0,9
712.7,0.00,0,90,0.0,0.0,0.0,9
722.7,0.00,0,90,0.0,0.0,0.0,9
732.8,0.00,0,90,0.0,0.0,0.0,9
742.8,0.00,0,90,0.0,0.0,0.0,9
752.8,0.00,0,90,0.0,0.0,0.0,9
762.9,0.00,0,90,0.0,0.0,0.0,9
772.9,0.00,0,90,0.0,0.0,0.0,9
783.0,0.00,0,90,0.0,0.0,0.0,9
793.0,0.00,0,90,0.0,0.0,0.0,9
803.0,0.00,0,90,0.0,0.0,0.0,9
813.0,0.00,0,90,0.0,0.0,0.0,9
823.1,0.00,0,90,0.0,0.0,0.0,9
833.1,0.00,0,90,0.0,0.0,0.0,9
843.1,0.00,0,90,0.0,0.0,0.0,9
853.2,0.00,0,90,0.0,0.0,0.0,9
863.2,0.00,0,90,0.0,0.0,0.0,9
873.3,0.00,0,90,0.0,0.0,0.0,9
883.3,0.00,0,90,0.0,0.0,0.0,9
893.4,0.00,0,90,0.0,0.0,0.0,9
903.5,0.00,0,90,0.0,0.0,0.0,9
913.5,0.00,0,90,0.0,0.0,0.0,9
923.6,0.00,0,90,0.0,0.0,0.0,9
933.6,0.00,0,90,0.0,0.0,0.0,9
943.6,0.00,0,90,0.0,0.0,0.0,9
953.6,0.00,0,90,0.0,0.0,0.0,9
963.7,0.00,0,90,0.0,0.0,0.0,9
973.8,0.00,0,90,0.0,0.0,0.0,9
983.9,0.00,0,90,0.0,0.0,0.0,9
994.0,0.00,0,90,0.0,0.0,0.0,9
1004.1,0.00,0,90,0.0,0.0,0.0,9
1014.1,0.00,0,90,0.0,0.0,0.0,9
1024.1,0.00,0,90,0.0,0.0,0.0,9
1034.1,0.00,0,90,0.0,0.0,0.0,9
1044.1,0.00,0,90,0.0,0.0,0.0,9
1054.2,1.11,1,90,6.2,6.2,6.2,9
